,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
73,float,4194304,8,0,False,Scale,13524.6,0.002509,0.002481,0.002554
74,float,4194304,8,0,False,Add,16595.1,0.003051,0.003033,0.003105
75,float,4194304,8,0,False,Triad,16991.8,0.002979,0.002962,0.00301
76,float,4194304,8,0,True,Copy,81.5,0.422396,0.411607,0.431599
77,float,4194304,8,0,True,Scale,80.5,0.423698,0.416676,0.431
78,float,4194304,8,0,True,Add,97.2,0.541436,0.517797,0.552715
79,float,4194304,8,0,True,Triad,96.8,0.542829,0.519899,0.560314
80,float,4194304,16,0,False,Copy,13912.4,0.002473,0.002412,0.002524
81,float,4194304,16,0,False,Scale,13454.8,0.002515,0.002494,0.00255
82,float,4194304,16,0,False,Add,16896.6,0.003011,0.002979,0.00305
83,float,4194304,16,0,False,Triad,17160.3,0.002958,0.002933,0.00301
84,float,4194304,16,0,True,Copy,81.7,0.422777,0.410608,0.431046
85,float,4194304,16,0,True,Scale,80.8,0.423086,0.41515,0.431386
86,float,4194304,16,0,True,Add,97.2,0.541319,0.517906,0.554544
87,float,4194304,16,0,True,Triad,96.9,0.541017,0.519199,0.554621
88,float,4194304,32,0,False,Copy,13055.4,0.002592,0.00257,0.002623
89,float,4194304,32,0,False,Scale,13778.9,0.002453,0.002435,0.002488
90,float,4194304,32,0,False,Add,16593.8,0.003045,0.003033,0.003086
91,float,4194304,32,0,False,Triad,17172.9,0.002942,0.002931,0.002976
92,float,4194304,32,0,True,Copy,73.3,0.468888,0.458025,0.478065
93,float,4194304,32,0,True,Scale,72.5,0.472632,0.463086,0.486339
94,float,4194304,32,0,True,Add,87.1,0.600994,0.578092,0.612939
95,float,4194304,32,0,True,Triad,86.5,0.604341,0.582195,0.616022
96,float,4194304,64,0,False,Copy,13347.6,0.002558,0.002514,0.002598
97,float,4194304,64,0,False,Scale,13087.0,0.002587,0.002564,0.00264
98,float,4194304,64,0,False,Add,16235.2,0.003118,0.0031,0.003143
99,float,4194304,64,0,False,Triad,16777.1,0.003009,0.003,0.003015
100,float,4194304,64,0,True,Copy,73.2,0.471294,0.458689,0.48212
101,float,4194304,64,0,True,Scale,72.2,0.47403,0.464999,0.486973
102,float,4194304,64,0,True,Add,86.6,0.603989,0.581022,0.618098
103,float,4194304,64,0,True,Triad,86.3,0.606189,0.583256,0.621008
104,float,4194304,128,0,False,Copy,13889.0,0.00249,0.002416,0.002537
105,float,4194304,128,0,False,Scale,13091.9,0.002585,0.002563,0.002653
106,float,4194304,128,0,False,Add,16277.8,0.003124,0.003092,0.003183
107,float,4194304,128,0,False,Triad,16799.8,0.003016,0.002996,0.00305
108,float,4194304,128,0,True,Copy,72.7,0.472559,0.461265,0.482372
109,float,4194304,128,0,True,Scale,71.9,0.476264,0.466384,0.489619
110,float,4194304,128,0,True,Add,86.3,0.60461,0.583367,0.616298
111,float,4194304,128,0,True,Triad,85.8,0.608172,0.586304,0.61945
112,float,4194304,256,0,False,Copy,13389.5,0.002553,0.002506,0.002592
113,float,4194304,256,0,False,Scale,12845.7,0.00264,0.002612,0.002717
114,float,4194304,256,0,False,Add,15757.7,0.003244,0.003194,0.003279
115,float,4194304,256,0,False,Triad,16080.6,0.003172,0.00313,0.003204
116,float,4194304,256,0,True,Copy,70.8,0.48657,0.474048,0.496902
117,float,4194304,256,0,True,Scale,70.2,0.488027,0.47779,0.502117
118,float,4194304,256,0,True,Add,83.7,0.623601,0.60158,0.634314
119,float,4194304,256,0,True,Triad,83.6,0.626512,0.601773,0.637323
120,float,4194304,512,0,False,Copy,13178.9,0.002596,0.002546,0.002648
121,float,4194304,512,0,False,Scale,13021.6,0.002616,0.002577,0.002675
122,float,4194304,512,0,False,Add,15978.4,0.003189,0.00315,0.003239
123,float,4194304,512,0,False,Triad,16282.8,0.003123,0.003091,0.003157
124,float,4194304,512,0,True,Copy,52.8,0.651395,0.635998,0.662017
125,float,4194304,512,0,True,Scale,52.3,0.652941,0.641499,0.666742
126,float,4194304,512,0,True,Add,60.2,0.8563,0.836187,0.866421
127,float,4194304,512,0,True,Triad,60.1,0.859976,0.837068,0.871158
128,float,8388608,4,0,False,Copy,12014.0,0.005668,0.005586,0.005738
129,float,8388608,4,0,False,Scale,11491.1,0.005903,0.00584,0.006103
130,float,8388608,4,0,False,Add,13636.0,0.007438,0.007382,0.007556
131,float,8388608,4,0,False,Triad,13774.4,0.007357,0.007308,0.007463
132,float,8388608,4,0,True,Copy,81.8,0.845444,0.820456,0.861827
133,float,8388608,4,0,True,Scale,80.8,0.846069,0.830384,0.861896
134,float,8388608,4,0,True,Add,97.2,1.082068,1.035114,1.106573
135,float,8388608,4,0,True,Triad,96.8,1.083597,1.039538,1.109572
136,float,8388608,8,0,False,Copy,12184.0,0.005559,0.005508,0.005642
137,float,8388608,8,0,False,Scale,11890.6,0.005692,0.005644,0.005748
138,float,8388608,8,0,False,Add,13975.5,0.007232,0.007203,0.007286
139,float,8388608,8,0,False,Triad,14070.9,0.007185,0.007154,0.007289
140,float,8388608,8,0,True,Copy,81.7,0.845524,0.821434,0.862714
141,float,8388608,8,0,True,Scale,80.9,0.844913,0.829666,0.861363
142,float,8388608,8,0,True,Add,97.4,1.081589,1.033579,1.107218
143,float,8388608,8,0,True,Triad,96.8,1.082886,1.039649,1.107373
144,float,8388608,16,0,False,Copy,12304.4,0.005568,0.005454,0.005678
145,float,8388608,16,0,False,Scale,12186.1,0.005543,0.005507,0.005575
146,float,8388608,16,0,False,Add,14175.8,0.007151,0.007101,0.007198
147,float,8388608,16,0,False,Triad,14305.0,0.007093,0.007037,0.007147
148,float,8388608,16,0,True,Copy,81.7,0.844819,0.821417,0.86263
149,float,8388608,16,0,True,Scale,80.8,0.845153,0.830373,0.862399
150,float,8388608,16,0,True,Add,97.2,1.080802,1.035374,1.106853
151,float,8388608,16,0,True,Triad,96.9,1.082051,1.038503,1.106701
152,float,8388608,32,0,False,Copy,12046.3,0.005683,0.005571,0.005812
153,float,8388608,32,0,False,Scale,11814.8,0.00573,0.00568,0.00583
154,float,8388608,32,0,False,Add,13789.7,0.007344,0.0073,0.00739
155,float,8388608,32,0,False,Triad,13969.4,0.007232,0.007206,0.007278
156,float,8388608,32,0,True,Copy,73.5,0.937077,0.912974,0.957025
157,float,8388608,32,0,True,Scale,72.5,0.945531,0.926253,0.974005
158,float,8388608,32,0,True,Add,87.0,1.200253,1.156511,1.220941
159,float,8388608,32,0,True,Triad,86.3,1.207872,1.165881,1.226519
160,float,8388608,64,0,False,Copy,12046.3,0.005679,0.005571,0.005852
161,float,8388608,64,0,False,Scale,11683.3,0.005841,0.005744,0.005923
162,float,8388608,64,0,False,Add,13667.8,0.007394,0.007365,0.007432
163,float,8388608,64,0,False,Triad,13834.9,0.007313,0.007276,0.007356
164,float,8388608,64,0,True,Copy,72.9,0.944573,0.920656,0.964225
165,float,8388608,64,0,True,Scale,72.0,0.950576,0.932552,0.977669
166,float,8388608,64,0,True,Add,86.3,1.211378,1.165941,1.233429
167,float,8388608,64,0,True,Triad,86.0,1.213628,1.171006,1.235192
168,float,8388608,128,0,False,Copy,12061.3,0.005688,0.005564,0.005808
169,float,8388608,128,0,False,Scale,11827.7,0.005712,0.005674,0.00578
170,float,8388608,128,0,False,Add,13785.6,0.007367,0.007302,0.007574
171,float,8388608,128,0,False,Triad,13939.9,0.007274,0.007221,0.007352
172,float,8388608,128,0,True,Copy,72.8,0.945607,0.921561,0.965347
173,float,8388608,128,0,True,Scale,71.9,0.952121,0.934008,0.980833
174,float,8388608,128,0,True,Add,86.2,1.21316,1.168361,1.235524
175,float,8388608,128,0,True,Triad,85.7,1.217291,1.174776,1.237776
176,float,8388608,256,0,False,Copy,11877.6,0.005796,0.00565,0.006129
177,float,8388608,256,0,False,Scale,11584.8,0.00586,0.005793,0.00591
178,float,8388608,256,0,False,Add,13477.6,0.00753,0.007469,0.007741
179,float,8388608,256,0,False,Triad,13723.8,0.007419,0.007335,0.007688
180,float,8388608,256,0,True,Copy,70.9,0.96949,0.946596,0.987417
181,float,8388608,256,0,True,Scale,70.0,0.976208,0.959079,1.001201
182,float,8388608,256,0,True,Add,83.4,1.252392,1.206811,1.28855
183,float,8388608,256,0,True,Triad,82.6,1.257997,1.218797,1.278786
184,float,8388608,512,0,False,Copy,11903.2,0.005709,0.005638,0.005781
185,float,8388608,512,0,False,Scale,11622.6,0.005809,0.005774,0.005867
186,float,8388608,512,0,False,Add,13569.9,0.007437,0.007418,0.007464
187,float,8388608,512,0,False,Triad,13664.3,0.007387,0.007367,0.007459
188,float,8388608,512,0,True,Copy,52.9,1.29833,1.269332,1.318712
189,float,8388608,512,0,True,Scale,52.3,1.305036,1.28262,1.334517
190,float,8388608,512,0,True,Add,60.5,1.704247,1.664264,1.72537
191,float,8388608,512,0,True,Triad,60.5,1.710189,1.664916,1.728843
192,float,16777216,4,0,False,Copy,11402.4,0.011949,0.011771,0.012062
193,float,16777216,4,0,False,Scale,11558.6,0.011707,0.011612,0.011849
194,float,16777216,4,0,False,Add,12910.5,0.015772,0.015594,0.016026
195,float,16777216,4,0,False,Triad,12952.9,0.015647,0.015543,0.015752
196,float,16777216,4,0,True,Copy,81.7,1.695009,1.642588,1.746516
197,float,16777216,4,0,True,Scale,80.7,1.69328,1.664156,1.729422
198,float,16777216,4,0,True,Add,97.2,2.163895,2.07219,2.216126
199,float,16777216,4,0,True,Triad,96.9,2.166297,2.078582,2.219835
200,float,16777216,8,0,False,Copy,11403.4,0.011915,0.01177,0.011988
201,float,16777216,8,0,False,Scale,11576.4,0.011661,0.011594,0.011738
202,float,16777216,8,0,False,Add,12907.2,0.015646,0.015598,0.015748
203,float,16777216,8,0,False,Triad,12919.8,0.01562,0.015583,0.015679
204,float,16777216,8,0,True,Copy,81.9,1.6894,1.639086,1.725283
205,float,16777216,8,0,True,Scale,80.8,1.690116,1.660251,1.720625
206,float,16777216,8,0,True,Add,97.3,2.162586,2.068644,2.233388
207,float,16777216,8,0,True,Triad,97.0,2.163972,2.075105,2.214973
208,float,16777216,16,0,False,Copy,11560.5,0.011791,0.01161,0.012215
209,float,16777216,16,0,False,Scale,11785.1,0.011462,0.011389,0.011626
210,float,16777216,16,0,False,Add,13175.8,0.015349,0.01528,0.015518
211,float,16777216,16,0,False,Triad,13227.8,0.015283,0.01522,0.015453
212,float,16777216,16,0,True,Copy,81.8,1.690187,1.641565,1.72661
213,float,16777216,16,0,True,Scale,80.8,1.690366,1.660284,1.722898
214,float,16777216,16,0,True,Add,97.3,2.160523,2.068954,2.212246
215,float,16777216,16,0,True,Triad,97.0,2.165566,2.076576,2.215267
216,float,16777216,32,0,False,Copy,11398.7,0.01196,0.011775,0.012177
217,float,16777216,32,0,False,Scale,11473.6,0.011755,0.011698,0.011791
218,float,16777216,32,0,False,Add,12846.3,0.015731,0.015672,0.015816
219,float,16777216,32,0,False,Triad,12909.7,0.015662,0.015595,0.015728
220,float,16777216,32,0,True,Copy,73.4,1.87384,1.829413,1.915006
221,float,16777216,32,0,True,Scale,72.5,1.88947,1.852412,1.94767
222,float,16777216,32,0,True,Add,87.2,2.399296,2.30827,2.443861
223,float,16777216,32,0,True,Triad,86.2,2.415313,2.335775,2.45816
224,float,16777216,64,0,False,Copy,11310.1,0.011996,0.011867,0.012149
225,float,16777216,64,0,False,Scale,11384.9,0.011814,0.011789,0.011853
226,float,16777216,64,0,False,Add,12820.9,0.01575,0.015703,0.015808
227,float,16777216,64,0,False,Triad,12842.2,0.015715,0.015677,0.015799
228,float,16777216,64,0,True,Copy,73.1,1.88402,1.837334,1.922088
229,float,16777216,64,0,True,Scale,72.2,1.894408,1.858411,1.948935
230,float,16777216,64,0,True,Add,86.8,2.409286,2.319719,2.453921
231,float,16777216,64,0,True,Triad,86.3,2.419444,2.333689,2.463237
232,float,16777216,128,0,False,Copy,11357.1,0.011947,0.011818,0.012141
233,float,16777216,128,0,False,Scale,11608.4,0.011614,0.011562,0.011666
234,float,16777216,128,0,False,Add,12760.1,0.015818,0.015778,0.015849
235,float,16777216,128,0,False,Triad,12906.4,0.015661,0.015599,0.015829
236,float,16777216,128,0,True,Copy,72.6,1.894258,1.849954,1.93243
237,float,16777216,128,0,True,Scale,71.6,1.908552,1.873479,1.96277
238,float,16777216,128,0,True,Add,86.1,2.429804,2.337188,2.470781
239,float,16777216,128,0,True,Triad,85.5,2.43667,2.353733,2.477533
240,float,16777216,256,0,False,Copy,11418.9,0.011929,0.011754,0.012172
241,float,16777216,256,0,False,Scale,11356.2,0.011875,0.011819,0.011974
242,float,16777216,256,0,False,Add,12669.2,0.015933,0.015891,0.016011
243,float,16777216,256,0,False,Triad,12773.8,0.015825,0.015761,0.015871
244,float,16777216,256,0,True,Copy,70.3,1.94983,1.910436,1.99614
245,float,16777216,256,0,True,Scale,69.7,1.960556,1.927005,2.010874
246,float,16777216,256,0,True,Add,83.4,2.504267,2.415283,2.548569
247,float,16777216,256,0,True,Triad,80.9,2.532897,2.487492,2.576479
248,float,16777216,512,0,False,Copy,11264.6,0.012067,0.011915,0.012285
249,float,16777216,512,0,False,Scale,11297.9,0.011924,0.01188,0.012003
250,float,16777216,512,0,False,Add,12595.5,0.016025,0.015984,0.016115
251,float,16777216,512,0,False,Triad,12635.0,0.015965,0.015934,0.016023
252,float,16777216,512,0,True,Copy,53.5,2.572039,2.506503,2.613913
253,float,16777216,512,0,True,Scale,52.5,2.596994,2.554911,2.659714
254,float,16777216,512,0,True,Add,60.7,3.400051,3.315113,3.445996
255,float,16777216,512,0,True,Triad,60.3,3.41776,3.336294,3.463735
256,float,33554432,4,0,False,Copy,11094.1,0.0244,0.024196,0.024663
257,float,33554432,4,0,False,Scale,11549.1,0.023297,0.023243,0.023386
258,float,33554432,4,0,False,Add,12589.9,0.032067,0.031982,0.032266
259,float,33554432,4,0,False,Triad,12524.2,0.032249,0.03215,0.032405
260,float,33554432,4,0,True,Copy,81.8,3.379839,3.281451,3.448596
261,float,33554432,4,0,True,Scale,80.8,3.380786,3.3207,3.441773
262,float,33554432,4,0,True,Add,97.2,4.325628,4.14057,4.439854
263,float,33554432,4,0,True,Triad,97.0,4.329035,4.149151,4.438162
264,float,33554432,8,0,False,Copy,10925.8,0.0249,0.024569,0.025195
265,float,33554432,8,0,False,Scale,11361.4,0.023727,0.023627,0.02383
266,float,33554432,8,0,False,Add,12302.6,0.03286,0.032729,0.033019
267,float,33554432,8,0,False,Triad,12376.8,0.032705,0.032533,0.032819
268,float,33554432,8,0,True,Copy,81.8,3.379905,3.280536,3.470147
269,float,33554432,8,0,True,Scale,80.9,3.376753,3.31777,3.445375
270,float,33554432,8,0,True,Add,97.4,4.318345,4.134158,4.423554
271,float,33554432,8,0,True,Triad,97.1,4.329169,4.147987,4.424304
272,float,33554432,16,0,False,Copy,11217.9,0.024082,0.023929,0.024235
273,float,33554432,16,0,False,Scale,11710.3,0.022998,0.022923,0.02314
274,float,33554432,16,0,False,Add,12739.3,0.031662,0.031607,0.03173
275,float,33554432,16,0,False,Triad,12644.6,0.031897,0.031844,0.03203
276,float,33554432,16,0,True,Copy,81.7,3.379769,3.284543,3.457802
277,float,33554432,16,0,True,Scale,80.8,3.380615,3.32297,3.44594
278,float,33554432,16,0,True,Add,97.3,4.334328,4.140164,4.433765
279,float,33554432,16,0,True,Triad,96.9,4.326168,4.153395,4.429884
280,float,33554432,32,0,False,Copy,11013.2,0.024699,0.024374,0.024967
281,float,33554432,32,0,False,Scale,11360.9,0.023738,0.023628,0.023966
282,float,33554432,32,0,False,Add,12331.7,0.032716,0.032652,0.032827
283,float,33554432,32,0,False,Triad,12334.3,0.0327,0.032645,0.032824
284,float,33554432,32,0,True,Copy,73.5,3.749191,3.653024,3.827784
285,float,33554432,32,0,True,Scale,72.4,3.778445,3.705984,3.88639
286,float,33554432,32,0,True,Add,87.0,4.799986,4.62651,4.890734
287,float,33554432,32,0,True,Triad,86.4,4.82825,4.660801,4.916122
288,float,33554432,64,0,False,Copy,10936.1,0.02482,0.024546,0.025125
289,float,33554432,64,0,False,Scale,11314.9,0.023798,0.023724,0.023869
290,float,33554432,64,0,False,Add,12279.4,0.032887,0.032791,0.033064
291,float,33554432,64,0,False,Triad,12316.9,0.032822,0.032691,0.032938
292,float,33554432,64,0,True,Copy,73.3,3.762754,3.662969,3.841971
293,float,33554432,64,0,True,Scale,72.3,3.78231,3.714907,3.893475
294,float,33554432,64,0,True,Add,86.8,4.817244,4.637592,4.906584
295,float,33554432,64,0,True,Triad,86.3,4.83553,4.664697,4.921578
296,float,33554432,128,0,False,Copy,11017.7,0.024727,0.024364,0.025073
297,float,33554432,128,0,False,Scale,11483.4,0.023447,0.023376,0.023541
298,float,33554432,128,0,False,Add,12364.2,0.03267,0.032566,0.032764
299,float,33554432,128,0,False,Triad,12446.0,0.03242,0.032352,0.032538
300,float,33554432,128,0,True,Copy,72.5,3.790379,3.703538,3.86933
301,float,33554432,128,0,True,Scale,71.6,3.81883,3.748751,3.932346
302,float,33554432,128,0,True,Add,86.1,4.853239,4.676211,4.94037
