,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
73,float,4194304,8,0,False,Scale,15066.6,0.002307,0.002227,0.002499
74,float,4194304,8,0,False,Add,15877.4,0.003205,0.00317,0.003257
75,float,4194304,8,0,False,Triad,15877.4,0.003195,0.00317,0.003228
76,float,4194304,8,0,True,Copy,82.2,0.421667,0.408344,0.431405
77,float,4194304,8,0,True,Scale,81.0,0.427294,0.414206,0.442506
78,float,4194304,8,0,True,Add,97.7,0.54166,0.515053,0.578465
79,float,4194304,8,0,True,Triad,97.3,0.539386,0.517021,0.552586
80,float,4194304,16,0,False,Copy,15818.5,0.002177,0.002121,0.002266
81,float,4194304,16,0,False,Scale,14986.4,0.00229,0.002239,0.002433
82,float,4194304,16,0,False,Add,16156.9,0.003147,0.003115,0.003174
83,float,4194304,16,0,False,Triad,16142.1,0.003149,0.003118,0.003186
84,float,4194304,16,0,True,Copy,79.7,0.435064,0.421136,0.449011
85,float,4194304,16,0,True,Scale,80.1,0.433414,0.418847,0.450102
86,float,4194304,16,0,True,Add,93.9,0.555276,0.535765,0.570878
87,float,4194304,16,0,True,Triad,93.3,0.553083,0.539724,0.572219
88,float,4194304,32,0,False,Copy,15746.0,0.002158,0.002131,0.002185
89,float,4194304,32,0,False,Scale,14243.2,0.002406,0.002356,0.002512
90,float,4194304,32,0,False,Add,15748.3,0.003218,0.003196,0.003277
91,float,4194304,32,0,False,Triad,15788.4,0.003199,0.003188,0.003209
92,float,4194304,32,0,True,Copy,73.6,0.467904,0.455924,0.478457
93,float,4194304,32,0,True,Scale,72.6,0.471311,0.462211,0.485459
94,float,4194304,32,0,True,Add,87.3,0.599317,0.576823,0.616249
95,float,4194304,32,0,True,Triad,86.5,0.603141,0.581629,0.61983
96,float,4194304,64,0,False,Copy,15570.0,0.002204,0.002155,0.002235
97,float,4194304,64,0,False,Scale,14938.7,0.002309,0.002246,0.002426
98,float,4194304,64,0,False,Add,15822.7,0.003211,0.003181,0.003281
99,float,4194304,64,0,False,Triad,15907.3,0.00319,0.003164,0.003217
