,Iteration,RMSE,Time,cache_size,data_type,is_zfp,matrix_width,tile_size,tiled,zfp_rate
112,2,0.0,33.79,8192,double,True,1024,32,True,16
113,3,0.0,33.79,8192,double,True,1024,32,True,16
114,4,0.0,33.78,8192,double,True,1024,32,True,16
115,0,0.0,36.04,32768,double,True,1024,32,True,16
116,1,0.0,35.88,32768,double,True,1024,32,True,16
117,2,0.0,35.9,32768,double,True,1024,32,True,16
118,3,0.0,35.92,32768,double,True,1024,32,True,16
119,4,0.0,35.94,32768,double,True,1024,32,True,16
120,0,0.0,34.26,65536,double,True,1024,32,True,16
121,1,0.0,34.32,65536,double,True,1024,32,True,16
122,2,0.0,34.39,65536,double,True,1024,32,True,16
123,3,0.0,34.5,65536,double,True,1024,32,True,16
124,4,0.0,34.41,65536,double,True,1024,32,True,16
125,0,0.0,243.89,256,double,True,1024,32,True,16
126,1,0.0,243.58,256,double,True,1024,32,True,16
127,2,0.0,245.8,256,double,True,1024,32,True,16
128,3,0.0,244.04,256,double,True,1024,32,True,16
129,4,0.0,244.43,256,double,True,1024,32,True,16
130,0,0.0,33.91,1024,double,True,1024,32,True,16
131,1,0.0,33.92,1024,double,True,1024,32,True,16
132,2,0.0,33.84,1024,double,True,1024,32,True,16
133,3,0.0,33.84,1024,double,True,1024,32,True,16
134,4,0.0,33.84,1024,double,True,1024,32,True,16
135,0,0.0,33.97,2048,double,True,1024,32,True,16
136,1,0.0,33.82,2048,double,True,1024,32,True,16
137,2,0.0,33.93,2048,double,True,1024,32,True,16
138,3,0.0,33.82,2048,double,True,1024,32,True,16
139,4,0.0,33.88,2048,double,True,1024,32,True,16
140,0,0.0,243.42,512,double,True,1024,32,True,16
141,1,0.0,244.66,512,double,True,1024,32,True,16
142,2,0.0,244.14,512,double,True,1024,32,True,16
143,3,0.0,247.27,512,double,True,1024,32,True,16
144,4,0.0,251.52,512,double,True,1024,32,True,16
145,0,0.0,35.66,0,double,True,1024,32,True,16
146,1,0.0,35.63,0,double,True,1024,32,True,16
147,2,0.0,35.62,0,double,True,1024,32,True,16
148,3,0.0,35.62,0,double,True,1024,32,True,16
149,4,0.0,35.62,0,double,True,1024,32,True,16
150,0,0.0,34.16,4096,double,True,1024,32,True,32
151,1,0.0,34.21,4096,double,True,1024,32,True,32
152,2,0.0,34.58,4096,double,True,1024,32,True,32
153,3,0.0,35.24,4096,double,True,1024,32,True,32
154,4,0.0,35.6,4096,double,True,1024,32,True,32
155,0,0.0,36.04,16384,double,True,1024,32,True,32
156,1,0.0,35.98,16384,double,True,1024,32,True,32
157,2,0.0,35.95,16384,double,True,1024,32,True,32
158,3,0.0,35.94,16384,double,True,1024,32,True,32
159,4,0.0,35.93,16384,double,True,1024,32,True,32
160,0,0.0,33.9,8192,double,True,1024,32,True,32
161,1,0.0,33.8,8192,double,True,1024,32,True,32
162,2,0.0,33.79,8192,double,True,1024,32,True,32
163,3,0.0,33.78,8192,double,True,1024,32,True,32
164,4,0.0,33.8,8192,double,True,1024,32,True,32
165,0,0.0,35.82,32768,double,True,1024,32,True,32
166,1,0.0,35.8,32768,double,True,1024,32,True,32
167,2,0.0,35.79,32768,double,True,1024,32,True,32
168,3,0.0,35.78,32768,double,True,1024,32,True,32
169,4,0.0,35.79,32768,double,True,1024,32,True,32
170,0,0.0,34.41,65536,double,True,1024,32,True,32
171,1,0.0,34.52,65536,double,True,1024,32,True,32
172,2,0.0,34.37,65536,double,True,1024,32,True,32
173,3,0.0,34.73,65536,double,True,1024,32,True,32
174,4,0.0,34.87,65536,double,True,1024,32,True,32
