,matrix_width,zfp_rate,hitrate_improvement,missrate_reduction
0,1024,4,9.295732507731897,65.2583772242242
1,1024,16,9.295732507731897,65.2583772242242
2,1024,8,9.295732507731897,65.2583772242242
3,1024,32,9.295732507731897,65.2583772242242
4,1024,12,9.295732507731897,65.2583772242242
5,256,4,9.172326388031683,64.94261967905871
6,256,16,9.172326388031683,64.94261967905871
7,256,8,9.172326388031683,64.94261967905871
8,256,32,9.172326388031683,64.94261967905871
9,256,12,9.172326388031683,64.94261967905871
10,768,4,9.281815712516726,65.22308188078313
11,768,16,9.281815712516726,65.22308188078313
12,768,8,9.281815712516726,65.22308188078313
13,768,32,9.281815712516726,65.22308188078313
14,768,12,9.281815712516726,65.22308188078313
15,384,4,9.226664990513713,65.08243026762524
16,384,16,9.226664990513713,65.08243026762524
17,384,8,9.226664990513713,65.08243026762524
18,384,32,9.226664990513713,65.08243026762524
19,384,12,9.226664990513713,65.08243026762524
20,32,4,8.19042493333659,62.1865596790371
21,32,16,8.19042493333659,62.1865596790371
22,32,8,8.19042493333659,62.1865596790371
23,32,32,8.19042493333659,62.1865596790371
24,32,12,8.19042493333659,62.1865596790371
25,512,4,9.25413765894741,65.15265039831637
26,512,16,9.25413765894741,65.15265039831637
27,512,8,9.25413765894741,65.15265039831637
28,512,32,9.25413765894741,65.15265039831637
29,512,12,9.25413765894741,65.15265039831637
30,128,4,9.014001263410343,64.52814786964609
31,128,16,9.014001263410343,64.52814786964609
32,128,8,9.014001263410343,64.52814786964609
33,128,32,9.014001263410343,64.52814786964609
34,128,12,9.014001263410343,64.52814786964609
