,data_type,stream_size,zfp_rate,cache_size,is_zfp,is_fast,Function,Best Rate MB/s,Avg time,Min time,Max time
69,double,536870912,32,0,True,True,Scale,6149.7,1.396915,1.396811,1.397058
70,double,536870912,32,0,True,True,Add,6716.3,1.918647,1.918466,1.918882
71,double,536870912,32,0,True,True,Triad,6553.8,1.96615,1.966022,1.966274
72,double,536870912,64,0,False,True,Copy,13098.9,0.838372,0.655774,0.944815
73,double,536870912,64,0,False,True,Scale,11437.6,0.961788,0.751026,1.935834
74,double,536870912,64,0,False,True,Add,12081.8,1.272993,1.066473,2.30705
75,double,536870912,64,0,False,True,Triad,12072.8,1.160119,1.067263,1.374301
76,double,536870912,64,0,True,False,Copy,73.2,119.028568,117.343749,121.080909
77,double,536870912,64,0,True,False,Scale,73.2,119.124242,117.384297,121.276058
78,double,536870912,64,0,True,False,Add,86.0,152.747565,149.812365,156.109489
79,double,536870912,64,0,True,False,Triad,84.8,155.008272,151.931836,158.529709
80,double,536870912,64,0,True,True,Copy,6057.0,1.429023,1.418191,1.433728
81,double,536870912,64,0,True,True,Scale,6154.5,1.403113,1.395711,1.411157
82,double,536870912,64,0,True,True,Add,6720.8,1.930229,1.917166,1.945382
83,double,536870912,64,0,True,True,Triad,6558.4,1.976953,1.964641,1.992784
