tiled
ZFP Rate,Default Hash Hit-Rate,Two-way Hit-Rate,Fast And Two-Way Hit-Rate
4,98.28326834023883,98.29467126807728,98.2832719197135
8,98.28326834023883,98.29467126807728,98.2832719197135
16,98.28326834023883,98.29467126807728,98.2832719197135
32,98.28326834023883,98.29467126807728,98.2832719197135
